Treatment Month,HSC Trust,% treated within 31 days,,,,,,,,
Apr-17,Southern,100.0,,,,,,,,
Apr-17,Western,100.0,,,,,,,,
May-17,Belfast,88.8,,,,,,,,
May-17,Northern,90.1,,,,,,,,
May-17,South Eastern,93.5,,,,,,,,
May-17,Southern,99.2,,,,,,,,
May-17,Western,98.5,,,,,,,,
Jun-17,Belfast,90.2,,,,,,,,
Jun-17,Northern,93.9,,,,,,,,
Jun-17,South Eastern,96.8,,,,,,,,
Jun-17,Southern,99.3,,,,,,,,
Jun-17,Western,100.0,,,,,,,,
Jul-17,Belfast,92.8,,,,,,,,
Jul-17,Northern,90.9,,,,,,,,
Jul-17,South Eastern,96.3,,,,,,,,
Jul-17,Southern,98.5,,,,,,,,
Jul-17,Western,100.0,,,,,,,,
Aug-17,Belfast,88.1,,,,,,,,
Aug-17,Northern,98.1,,,,,,,,
Aug-17,South Eastern,94.9,,,,,,,,
Aug-17,Southern,100.0,,,,,,,,
Aug-17,Western,100.0,,,,,,,,
Sep-17,Belfast,86.1,,,,,,,,
Sep-17,Northern,92.0,,,,,,,,
Sep-17,South Eastern,91.7,,,,,,,,
Sep-17,Southern,100.0,,,,,,,,
Sep-17,Western,99.3,,,,,,,,
Oct-17,Belfast,93.4,,,,,,,,
Oct-17,Northern,94.5,,,,,,,,
Oct-17,South Eastern,92.5,,,,,,,,
Oct-17,Southern,97.2,,,,,,,,
Oct-17,Western,100.0,,,,,,,,
Nov-17,Belfast,89.9,,,,,,,,
Nov-17,Northern,88.6,,,,,,,,
Nov-17,South Eastern,93.2,,,,,,,,
Nov-17,Southern,96.6,,,,,,,,
Nov-17,Western,100.0,,,,,,,,
Dec-17,Belfast,87.7,,,,,,,,
Dec-17,Northern,86.8,,,,,,,,
Dec-17,South Eastern,94.0,,,,,,,,
Dec-17,Southern,98.2,,,,,,,,
Dec-17,Western,100.0,,,,,,,,
Jan-18,Belfast,87.2,,,,,,,,
Jan-18,Northern,96.3,,,,,,,,
Jan-18,South Eastern,97.0,,,,,,,,
Jan-18,Southern,88.0,,,,,,,,
Jan-18,Western,100.0,,,,,,,,
Feb-18,Belfast,89.8,,,,,,,,
Feb-18,Northern,96.6,,,,,,,,
Feb-18,South Eastern,95.5,,,,,,,,
Feb-18,Southern,90.3,,,,,,,,
Feb-18,Western,100.0,,,,,,,,
Mar-18,Belfast,94.6,,,,,,,,
Mar-18,Northern,98.8,,,,,,,,
Mar-18,South Eastern,97.1,,,,,,,,
Mar-18,Southern,98.4,,,,,,,,
Mar-18,Western,99.1,,,,,,,,
Apr-18,Belfast,91.6,,,,,,,,
Apr-18,Northern,95.1,,,,,,,,
Apr-18,South Eastern,96.1,,,,,,,,
Apr-18,Southern,96.6,,,,,,,,
Apr-18,Western,100.0,,,,,,,,
May-18,Belfast,87.6,,,,,,,,
May-18,Northern,91.7,,,,,,,,
May-18,South Eastern,94.3,,,,,,,,
May-18,Southern,100.0,,,,,,,,
May-18,Western,100.0,,,,,,,,
Jun-18,Belfast,92.5,,,,,,,,
Jun-18,Northern,94.8,,,,,,,,
Jun-18,South Eastern,94.3,,,,,,,,
Jun-18,Southern,100.0,,,,,,,,
Jun-18,Western,100.0,,,,,,,,
Jul-18,Belfast,90.3,,,,,,,,
Jul-18,Northern,90.1,,,,,,,,
Jul-18,South Eastern,95.5,,,,,,,,
Jul-18,Southern,100.0,,,,,,,,
Jul-18,Western,99.3,,,,,,,,
Aug-18,Belfast,90.8,,,,,,,,
Aug-18,Northern,81.3,,,,,,,,
Aug-18,South Eastern,94.9,,,,,,,,
Aug-18,Southern,100.0,,,,,,,,
