Treatment Month,HSC Trust,% treated within 62 days,,,,,,
May-13,Western,93.8,,,,,,
Jun-13,Belfast,77.0,,,,,,
Jun-13,Northern,80.0,,,,,,
Jun-13,South Eastern,89.5,,,,,,
Jun-13,Southern,81.6,,,,,,
Jun-13,Western,92.3,,,,,,
Jul-13,Belfast,80.6,,,,,,
Jul-13,Northern,77.7,,,,,,
Jul-13,South Eastern,85.9,,,,,,
Jul-13,Southern,91.4,,,,,,
Jul-13,Western,95.2,,,,,,
Aug-13,Belfast,79.4,,,,,,
Aug-13,Northern,82.3,,,,,,
Aug-13,South Eastern,81.1,,,,,,
Aug-13,Southern,89.5,,,,,,
Aug-13,Western,88.2,,,,,,
Sep-13,Belfast,79.8,,,,,,
Sep-13,Northern,75.5,,,,,,
Sep-13,South Eastern,77.2,,,,,,
Sep-13,Southern,91.9,,,,,,
Sep-13,Western,91.8,,,,,,
Oct-13,Belfast,74.4,,,,,,
Oct-13,Northern,83.8,,,,,,
Oct-13,South Eastern,65.9,,,,,,
Oct-13,Southern,85.7,,,,,,
Oct-13,Western,86.3,,,,,,
Nov-13,Belfast,77.9,,,,,,
Nov-13,Northern,86.7,,,,,,
Nov-13,South Eastern,86.5,,,,,,
Nov-13,Southern,92.6,,,,,,
Nov-13,Western,88.9,,,,,,
Dec-13,Belfast,86.1,,,,,,
Dec-13,Northern,79.8,,,,,,
Dec-13,South Eastern,64.8,,,,,,
Dec-13,Southern,83.5,,,,,,
Dec-13,Western,89.5,,,,,,
Jan-14,Belfast,72.9,,,,,,
Jan-14,Northern,81.6,,,,,,
Jan-14,South Eastern,67.0,,,,,,
Jan-14,Southern,88.2,,,,,,
Jan-14,Western,90.4,,,,,,
Feb-14,Belfast,77.2,,,,,,
Feb-14,Northern,84.8,,,,,,
Feb-14,South Eastern,67.6,,,,,,
Feb-14,Southern,84.3,,,,,,
Feb-14,Western,86.8,,,,,,
Mar-14,Belfast,79.3,,,,,,
Mar-14,Northern,76.1,,,,,,
Mar-14,South Eastern,74.8,,,,,,
Mar-14,Southern,73.9,,,,,,
Mar-14,Western,94.0,,,,,,
Apr-14,Belfast,68.2,,,,,,
Apr-14,Northern,82.9,,,,,,
Apr-14,South Eastern,71.3,,,,,,
Apr-14,Southern,85.4,,,,,,
Apr-14,Western,89.6,,,,,,
May-14,Belfast,67.8,,,,,,
May-14,Northern,74.8,,,,,,
May-14,South Eastern,71.6,,,,,,
May-14,Southern,74.7,,,,,,
May-14,Western,90.0,,,,,,
Jun-14,Belfast,73.7,,,,,,
Jun-14,Northern,73.3,,,,,,
Jun-14,South Eastern,73.4,,,,,,
Jun-14,Southern,79.0,,,,,,
Jun-14,Western,94.2,,,,,,
Jul-14,Belfast,67.3,,,,,,
Jul-14,Northern,63.6,,,,,,
Jul-14,South Eastern,70.5,,,,,,
Jul-14,Southern,76.2,,,,,,
Jul-14,Western,98.7,,,,,,
Aug-14,Belfast,65.1,,,,,,
Aug-14,Northern,54.9,,,,,,
Aug-14,South Eastern,79.8,,,,,,
Aug-14,Southern,86.4,,,,,,
Aug-14,Western,90.0,,,,,,
Sep-14,Belfast,46.7,,,,,,
Sep-14,Northern,63.6,,,,,,
Sep-14,South Eastern,58.7,,,,,,
Sep-14,Southern,83.3,,,,,,
Sep-14,Western,86.7,,,,,,
Oct-14,Belfast,64.3,,,,,,
Oct-14,Northern,57.4,,,,,,
Oct-14,South Eastern,61.5,,,,,,
Oct-14,Southern,88.9,,,,,,
Oct-14,Western,90.8,,,,,,
Nov-14,Belfast,68.8,,,,,,
Nov-14,Northern,74.1,,,,,,
Nov-14,South Eastern,55.6,,,,,,
Nov-14,Southern,85.1,,,,,,
Nov-14,Western,93.0,,,,,,
Dec-14,Belfast,73.6,,,,,,
Dec-14,Northern,68.3,,,,,,
Dec-14,South Eastern,55.6,,,,,,
Dec-14,Southern,90.9,,,,,,
Dec-14,Western,94.0,,,,,,
Jan-15,Belfast,61.5,,,,,,
Jan-15,Northern,68.4,,,,,,
Jan-15,South Eastern,55.1,,,,,,
Jan-15,Southern,91.0,,,,,,
Jan-15,Western,93.9,,,,,,
Feb-15,Belfast,64.5,,,,,,
Feb-15,Northern,62.5,,,,,,
Feb-15,South Eastern,56.5,,,,,,
Feb-15,Southern,88.9,,,,,,
Feb-15,Western,93.7,,,,,,
Mar-15,Belfast,63.9,,,,,,
Mar-15,Northern,67.5,,,,,,
Mar-15,South Eastern,60.3,,,,,,
Mar-15,Southern,96.4,,,,,,
Mar-15,Western,87.7,,,,,,
Apr-15,Belfast,70.5,,,,,,
Apr-15,Northern,81.0,,,,,,
Apr-15,South Eastern,60.5,,,,,,
Apr-15,Southern,91.1,,,,,,
Apr-15,Western,94.9,,,,,,
May-15,Belfast,65.1,,,,,,
May-15,Northern,72.3,,,,,,
May-15,South Eastern,60.4,,,,,,
May-15,Southern,91.8,,,,,,
May-15,Western,88.2,,,,,,
Jun-15,Belfast,57.3,,,,,,
Jun-15,Northern,72.7,,,,,,
Jun-15,South Eastern,61.7,,,,,,
Jun-15,Southern,84.2,,,,,,
Jun-15,Western,88.1,,,,,,
Jul-15,Belfast,65.1,,,,,,
Jul-15,Northern,75.9,,,,,,
Jul-15,South Eastern,62.0,,,,,,
Jul-15,Southern,87.4,,,,,,
Jul-15,Western,87.2,,,,,,
Aug-15,Belfast,56.5,,,,,,
Aug-15,Northern,60.0,,,,,,
Aug-15,South Eastern,57.3,,,,,,
Aug-15,Southern,82.2,,,,,,
Aug-15,Western,89.3,,,,,,
Sep-15,Belfast,55.2,,,,,,
Sep-15,Northern,62.1,,,,,,
