Month Seen,HSC Trust,% seen within 14 days,,,,
Feb-14,Northern,88.1,,,,
Feb-14,South Eastern,36.8,,,,
Feb-14,Southern,23.1,,,,
Feb-14,Western,100.0,,,,
Mar-14,Belfast,90.6,,,,
Mar-14,Northern,22.9,,,,
Mar-14,South Eastern,16.7,,,,
Mar-14,Southern,15.5,,,,
Mar-14,Western,100.0,,,,
Apr-14,Belfast,96.0,,,,
Apr-14,Northern,16.8,,,,
Apr-14,South Eastern,11.9,,,,
Apr-14,Southern,57.3,,,,
Apr-14,Western,100.0,,,,
May-14,Belfast,83.9,,,,
May-14,Northern,11.1,,,,
May-14,South Eastern,13.8,,,,
May-14,Southern,98.7,,,,
May-14,Western,100.0,,,,
Jun-14,Belfast,98.6,,,,
Jun-14,Northern,27.0,,,,
Jun-14,South Eastern,20.9,,,,
Jun-14,Southern,61.9,,,,
Jun-14,Western,100.0,,,,
Jul-14,Belfast,98.1,,,,
Jul-14,Northern,22.1,,,,
Jul-14,South Eastern,11.4,,,,
Jul-14,Southern,25.9,,,,
Jul-14,Western,100.0,,,,
Aug-14,Belfast,100.0,,,,
Aug-14,Northern,100.0,,,,
Aug-14,South Eastern,87.2,,,,
Aug-14,Southern,59.5,,,,
Aug-14,Western,100.0,,,,
Sep-14,Belfast,99.1,,,,
Sep-14,Northern,100.0,,,,
Sep-14,South Eastern,100.0,,,,
Sep-14,Southern,98.4,,,,
Sep-14,Western,100.0,,,,
Oct-14,Belfast,100.0,,,,
Oct-14,Northern,100.0,,,,
Oct-14,South Eastern,100.0,,,,
Oct-14,Southern,100.0,,,,
Oct-14,Western,100.0,,,,
Nov-14,Belfast,97.1,,,,
Nov-14,Northern,100.0,,,,
Nov-14,South Eastern,100.0,,,,
Nov-14,Southern,98.6,,,,
Nov-14,Western,90.1,,,,
Dec-14,Belfast,82.9,,,,
Dec-14,Northern,100.0,,,,
Dec-14,South Eastern,100.0,,,,
Dec-14,Southern,100.0,,,,
Dec-14,Western,100.0,,,,
Jan-15,Belfast,79.2,,,,
Jan-15,Northern,100.0,,,,
Jan-15,South Eastern,100.0,,,,
Jan-15,Southern,99.5,,,,
Jan-15,Western,98.5,,,,
Feb-15,Belfast,55.0,,,,
Feb-15,Northern,100.0,,,,
Feb-15,South Eastern,100.0,,,,
Feb-15,Southern,100.0,,,,
Feb-15,Western,100.0,,,,
Mar-15,Belfast,26.6,,,,
Mar-15,Northern,100.0,,,,
Mar-15,South Eastern,97.8,,,,
Mar-15,Southern,99.1,,,,
Mar-15,Western,100.0,,,,
Apr-15,Belfast,15.5,,,,
Apr-15,Northern,100.0,,,,
Apr-15,South Eastern,94.8,,,,
Apr-15,Southern,100.0,,,,
Apr-15,Western,100.0,,,,
May-15,Belfast,20.0,,,,
May-15,Northern,100.0,,,,
May-15,South Eastern,81.6,,,,
May-15,Southern,99.6,,,,
May-15,Western,97.7,,,,
Jun-15,Belfast,27.1,,,,
Jun-15,Northern,100.0,,,,
Jun-15,South Eastern,86.8,,,,
Jun-15,Southern,100.0,,,,
Jun-15,Western,100.0,,,,
Jul-15,Belfast,26.4,,,,
Jul-15,Northern,100.0,,,,
Jul-15,South Eastern,90.1,,,,
Jul-15,Southern,100.0,,,,
Jul-15,Western,100.0,,,,
Aug-15,Belfast,49.5,,,,
Aug-15,Northern,100.0,,,,
Aug-15,South Eastern,52.9,,,,
Aug-15,Southern,99.2,,,,
Aug-15,Western,100.0,,,,
Sep-15,Belfast,80.0,,,,
Sep-15,Northern,100.0,,,,
Sep-15,South Eastern,44.6,,,,
Sep-15,Southern,100.0,,,,
Sep-15,Western,100.0,,,,
Oct-15,Belfast,98.9,,,,
Oct-15,Northern,88.1,,,,
Oct-15,South Eastern,21.2,,,,
Oct-15,Southern,100.0,,,,
Oct-15,Western,100.0,,,,
Nov-15,Belfast,32.1,,,,
Nov-15,Northern,15.9,,,,
Nov-15,South Eastern,23.1,,,,
Nov-15,Southern,84.9,,,,
Nov-15,Western,94.1,,,,
Dec-15,Belfast,24.3,,,,
Dec-15,Northern,10.6,,,,
Dec-15,South Eastern,78.2,,,,
Dec-15,Southern,45.1,,,,
Dec-15,Western,100.0,,,,
Jan-16,Belfast,37.4,,,,
Jan-16,Northern,57.8,,,,
Jan-16,South Eastern,98.8,,,,
Jan-16,Southern,88.0,,,,
Jan-16,Western,100.0,,,,
Feb-16,Belfast,40.8,,,,
Feb-16,Northern,99.7,,,,
Feb-16,South Eastern,100.0,,,,
